Threads	Method	Interlines	inf_func	Termination	Term-Param	Zeit	Speed
01	Jacobi	512	2	2	1024	1142.901251	241.331641
01	Jacobi	512	2	2	1024	1143.731443	241.156467
01	Jacobi	512	2	2	1024	1144.220120	241.053473
01	Jacobi	512	2	2	1024	1145.038566	240.881174
01	Jacobi	512	2	2	1024	1147.017946	240.465491

02	Jacobi	512	2	2	1024	602.693875	457.642338
02	Jacobi	512	2	2	1024	603.551180	456.992287
02	Jacobi	512	2	2	1024	604.434994	456.324066
02	Jacobi	512	2	2	1024	604.888166	455.982195
02	Jacobi	512	2	2	1024	606.181823	455.009080

03	Jacobi	512	2	2	1024	416.101316	662.863162
03	Jacobi	512	2	2	1024	416.396651	662.393017
03	Jacobi	512	2	2	1024	434.130479	635.334876
03	Jacobi	512	2	2	1024	464.605898	593.660638
03	Jacobi	512	2	2	1024	415.577732	663.698299

04	Jacobi	512	2	2	1024	325.609801	847.082100
04	Jacobi	512	2	2	1024	329.811006	836.291782
04	Jacobi	512	2	2	1024	330.384749	834.839485
04	Jacobi	512	2	2	1024	320.043470	861.814909
04	Jacobi	512	2	2	1024	320.057294	861.777685

05	Jacobi	512	2	2	1024	259.106441	1064.497790
05	Jacobi	512	2	2	1024	259.365901	1063.432906
05	Jacobi	512	2	2	1024	259.012235	1064.884961
05	Jacobi	512	2	2	1024	259.259615	1063.868871
05	Jacobi	512	2	2	1024	260.066039	1060.569980

06	Jacobi	512	2	2	1024	215.741302	1278.467458
06	Jacobi	512	2	2	1024	219.974005	1253.867401
06	Jacobi	512	2	2	1024	215.684126	1278.806368
06	Jacobi	512	2	2	1024	221.155120	1247.170917
06	Jacobi	512	2	2	1024	215.908371	1277.478185

07	Jacobi	512	2	2	1024	185.569760	1486.331792
07	Jacobi	512	2	2	1024	185.683664	1485.420031
07	Jacobi	512	2	2	1024	185.509451	1486.814997
07	Jacobi	512	2	2	1024	185.407706	1487.630907
07	Jacobi	512	2	2	1024	185.578600	1486.260991

08	Jacobi	512	2	2	1024	166.766281	1653.920878
08	Jacobi	512	2	2	1024	162.067012	1701.877701
08	Jacobi	512	2	2	1024	161.873474	1703.912488
08	Jacobi	512	2	2	1024	162.064438	1701.904732
08	Jacobi	512	2	2	1024	162.068971	1701.857130

09	Jacobi	512	2	2	1024	145.306367	1898.184089
09	Jacobi	512	2	2	1024	151.189872	1824.316869
09	Jacobi	512	2	2	1024	145.473753	1895.999987
09	Jacobi	512	2	2	1024	145.845154	1891.171741
09	Jacobi	512	2	2	1024	145.887657	1890.620766

10	Jacobi	512	2	2	1024	140.317974	1965.665738
10	Jacobi	512	2	2	1024	131.457610	2098.153419
10	Jacobi	512	2	2	1024	130.917320	2106.812405
10	Jacobi	512	2	2	1024	131.769584	2093.185889
10	Jacobi	512	2	2	1024	131.078452	2104.222545

11	Jacobi	512	2	2	1024	131.348029	2099.903866
11	Jacobi	512	2	2	1024	119.988623	2298.703218
11	Jacobi	512	2	2	1024	119.574777	2306.658986
11	Jacobi	512	2	2	1024	134.553890	2049.871868
11	Jacobi	512	2	2	1024	119.929747	2299.831699

12	Jacobi	512	2	2	1024	113.937992	2420.774923
12	Jacobi	512	2	2	1024	122.677436	2248.320823
12	Jacobi	512	2	2	1024	111.046045	2483.818616
12	Jacobi	512	2	2	1024	112.108077	2460.288690
12	Jacobi	512	2	2	1024	127.929541	2156.016755
