Threads	Method	Interlines	inf_func	Termination	Term-Param	Zeit	Var(t)	Speed	Var(s)
01	Jacobi	512	2	2	1024	1144.5818652	0.327386896048	240.9776492	0.0144882911579
02	Jacobi	512	2	2	1024	604.3500076	0.234442851147	456.3899932	0.133623078446
03	Jacobi	512	2	2	1024	429.3624152	59.9607598827	643.5899984	123.014672415
04	Jacobi	512	2	2	1024	325.181264	3.37821356132	848.3611922	23.0382693274
05	Jacobi	512	2	2	1024	259.3620462	0.023127158883	1063.4509016	0.387574440373
06	Jacobi	512	2	2	1024	217.6925848	0.940628611374	1267.1580658	31.5406014787
07	Jacobi	512	2	2	1024	185.5498362	0.00136553840639	1486.4917436	0.0876528394874
08	Jacobi	512	2	2	1024	162.9680352	0.602046084009	1692.6945858	62.7450120116
09	Jacobi	512	2	2	1024	146.7405606	0.832909408068	1880.0586904	130.828766643
10	Jacobi	512	2	2	1024	133.108188	2.18056711306	2073.6079992	489.236204474
11	Jacobi	512	2	2	1024	125.0790132	7.0599160136	2210.9939274	2101.27308415
12	Jacobi	512	2	2	1024	117.5398182	7.29958371105	2353.8439614	2765.81270119
